차명,변속기,인승,기통,마력,최대 토그,연료,주행거리,가격
﻿현대 뉴 제네시스 G380 프레스티지 AWD,자동,5인승,6기통,315마력,40.5kgm,가솔린,10만km,"2,299"
기아 올 뉴 카니발  3.3 GDi 9인승 하이리무진 노블레스 ,자동,9인승,6기통,280마력,34.7kgm,가솔린,10만km,"2,800"
제네시스 GV80 3.0 디젤 AWD  5인승 ,자동,5인승,,,,디젤,1만km,0
현대 뉴 제네시스 G330 프리미엄 AWD,자동,5인승,6기통,282마력,35.4kgm,가솔린,11만km,"2,280"
GM대우 뉴 라보 롱카고  슈퍼,수동,2인승,,,,LPG,1만km,800
현대 쏘나타  L2.0 스마트,자동,5인승,4기통,146마력,19.5kgm,LPG,3만km,0
쉐보레 콜로라도 3.6 V6 4WD 익스트림-X,자동,5인승,,,,가솔린,2만km,"3,590"
현대 티뷰론 2.0 TGX,수동,4인승,4기통,153마력,19.5kgm,가솔린,20만km,"4,000,000"
기아 올 뉴 카니발 2.2 디젤 9인승 프레스티지,자동,9인승,4기통,202마력,45kgm,디젤,17만km,"1,570"
현대 메가트럭 5톤 초장축 윙바디,수동,2인승,,,,디젤,80만km,"1,000"
현대 그랜져IG 하이브리드 2.4 HEV 프리미엄,자동,5인승,4기통,199마력,26.7kgm,가솔린+전기,3만km,"2,720"
기아 올 뉴 카니발 3.3 GDi 9인승 하이리무진 노블레스,자동,9인승,6기통,280마력,34.7kgm,가솔린,14만km,"2,759"
기아 더 뉴 카니발 2.2 디젤 9인승 프레스티지,자동,9인승,4기통,202마력,45kgm,디젤,1만km,"3,060"
현대 뉴 에쿠스 VL 500 프레스티지,자동,5인승,8기통,430마력,52kgm,가솔린,16만km,"1,480"
현대 제네시스 쿠페 200 터보 P,수동,4인승,4기통,210마력,30.5kgm,가솔린,17만km,690
현대 리베로 캠핑카,자동,,,,,디젤,3만km,"3,500"
현대 제네시스 BH330 그랜드 프라임팩,자동,5인승,6기통,262마력,32.1kgm,가솔린,23만km,590
기아 스포티지 더 볼드 2.0 디젤 2WD  인텔리전트,자동,5인승,4기통,186마력,41kgm,디젤,4만km,"2,350"
현대 쏘나타 뉴 라이즈 2.0 LPi  모던,자동,5인승,,,,LPG,7만km,"1,430"
기아 K7 VG270 럭셔리,자동,5인승,6기통,200마력,26kgm,가솔린,10만km,480
기아 K7 프리미어 2.5 GDI 노블레스,자동,5인승,4기통,198마력,25.3kgm,가솔린,3만km,"2,690"
기아 더 뉴 카니발 3.3 가솔린 7인승 하이리무진 프레지던트,자동,7인승,6기통,280마력,34.7kgm,가솔린,2만km,"4,500"
현대 더 뉴 아반떼 1.6 GDi 스마트,자동,5인승,4기통,140마력,16.9kgm,가솔린,7만km,870
기아 올 뉴 K7 2.4 GDi 노블레스,자동,5인승,4기통,190마력,24.6kgm,가솔린,4만km,"2,100"
현대 팰리세이드 2.2 디젤 2WD 프레스티지,자동,,,,,디젤,7만km,"3,499"
현대 제네시스 BH380 로얄 VIP 팩,자동,5인승,6기통,334마력,40.3kgm,가솔린,14만km,"1,390"
기아 K5 2.0 프레스티지,자동,5인승,4기통,172마력,20.5kgm,가솔린,15만km,800
현대 벨로스터 익스트림 터보,자동,4인승,4기통,204마력,26.9kgm,가솔린,8만km,850
GM대우 뉴 라보 롱카고 슈퍼,수동,2인승,,,,LPG,11만km,299
기아 더 뉴 레이 1.0 가솔린 캠핑카,자동,,,,,가솔린,1만km,"1,850"
현대 e-카운티 캠핑카,수동,,,,,디젤,6만km,"3,950"
현대 그랜드스타렉스 캠핑카,자동,,,,,디젤,22만km,"1,690"
현대 그랜드스타렉스 캠핑카,자동,,,,,디젤,7만km,"1,930"
기아 더 프레스티지 K7 3.0 GDI 노블레스,자동,5인승,6기통,270마력,31.6kgm,가솔린,20만km,850
르노삼성 뉴 SM5  SE 블랙,자동,5인승,4기통,141마력,19.8kgm,가솔린,10만km,480
기아 레토나 크루저 GX 밴 고급형,수동,2인승,,,,디젤,27만km,350
현대 포터2 초장축 슈퍼캡 골드  기본형,자동,,,,,디젤,33만km,430
현대 NF쏘나타 트랜스폼 N20 LPI  럭셔리,자동,5인승,,,,LPG,20만km,239
기아 쏘렌토 2.5 LX 4WD  고급형,자동,7인승,4기통,145마력,33kgm,디젤,21만km,199
나인 인디에어 이동업무차,수동,,,,,디젤,1만km,"5,950"
현대 제네시스 쿠페 200 터보 D,수동,4인승,4기통,210마력,30.5kgm,가솔린,1천km,580
제일모빌 이동업무차,자동,,,,,디젤,3만km,계약
드림 이동업무차,수동,,,,,디젤,2만km,"4,650"
아리아 이동업무차,자동,,,,,디젤,8천km,"6,650"
현대 그랜져HG 220 디젤  모던,자동,5인승,4기통,202마력,45kgm,디젤,20만km,770
기아 올 뉴 모닝 1.0 가솔린 프레스티지 JA,자동,5인승,3기통,,,가솔린,3만km,900
현대 e-카운티 캠핑카,수동,,,,,디젤,13만km,"2,000"
르노삼성 뉴 SM3 SE,자동,5인승,4기통,112마력,15.9kgm,가솔린,19만km,200
르노삼성 SM6 2.0 LPe LE,자동,5인승,,,,LPG,6만km,"1,450"
현대 그랜저 뉴 럭셔리 Q270 디럭스,자동,5인승,6기통,195마력,25.6kgm,가솔린,15만km,290
기아 올 뉴 카니발 2.2 디젤 9인승  노블레스,자동,9인승,4기통,202마력,45kgm,디젤,12만km,"1,750"
기아 더 뉴 K5 2.0 노블레스,자동,5인승,4기통,172마력,20.5kgm,가솔린,14만km,"1,100"
현대 그랜저 뉴 럭셔리 Q240  디럭스,자동,5인승,4기통,179마력,23.6kgm,가솔린,17만km,300
기아 그랜드카니발 프레지던트  11인승,자동,11인승,,,,디젤,19만km,650
현대 싼타페DM 2.0 VGT 4WD  익스클루시브,자동,7인승,4기통,184마력,41kgm,디젤,10만km,"1,390"
기아 뉴 오피러스 GH380  프리미엄,자동,5인승,6기통,266마력,36kgm,가솔린,22만km,350
르노삼성 QM6 2.0 GDe 2WD  RE 시그니처,자동,5인승,4기통,144마력,20.4kgm,디젤,7만km,"1,670"
기아 올 뉴 카니발 2.2 디젤 7인승 하이리무진 프레지던트,자동,7인승,4기통,202마력,45kgm,디젤,6만km,"3,200"
기아 올 뉴 쏘렌토 2.0 디젤 2WD 노블레스,자동,5인승,4기통,186마력,41kgm,디젤,6만km,"2,050"
르노삼성 QM6 2.0 GDe 2WD  RE,자동,5인승,4기통,144마력,20.4kgm,가솔린,1만km,"2,170"
제네시스 EQ900 3.8 GDi 럭셔리,자동,5인승,6기통,315마력,40.5kgm,가솔린,5만km,"3,500"
쉐보레 카마로 SS 6.2 V8  ,자동,4인승,8기통,453마력,62.9kgm,가솔린,7만km,"2,700"
쉐보레 크루즈 2.0 LTZ 플러스,자동,5인승,4기통,163마력,36.7kgm,디젤,9만km,480
쉐보레 스파크 LT,자동,5인승,4기통,70마력,9.4kgm,가솔린,7만km,400
GM대우 마티즈 크리에이티브 그루브  일반형,자동,5인승,4기통,70마력,9.4kgm,가솔린,8만km,250
르노삼성 SM7 VQ23 SE ,자동,5인승,6기통,170마력,23kgm,가솔린,15만km,160
기아 더 뉴 카니발  3.3 가솔린 9인승 하이리무진 노블레스 스페셜,자동,9인승,6기통,280마력,34.7kgm,가솔린,4만km,"4,000"
기아 쏘울 1.6 2U 고급형,자동,5인승,4기통,124마력,15.9kgm,가솔린,13만km,350
현대 팰리세이드 3.8 가솔린 2WD VIP,자동,7인승,6기통,295마력,36.2kgm,가솔린,5천km,0
현대 제네시스 BH380 로얄 VIP 팩,자동,5인승,6기통,290마력,36.5kgm,가솔린,29만km,890
﻿제네시스 EQ900 3.8 GDi AWD 프리미엄 럭셔리,자동,5인승,6기통,315마력,40.5kgm,가솔린,3만km,"5,350"
