차명,변속기,인승,기통,마력,최대토크,연료,주행거리,상담
벤츠 S500L 블루이피션시,자동,5인승,8기통,435마력,71.4kgm,가솔린,13만km,
폭스바겐 티구안 1세대  2.0 TDI 프리미엄 ,자동,5인승,4기통,140마력,32.6kgm,디젤,11만km,"1,200"
페라리 캘리포니아 T 3.9 V8,자동,4인승,8기통,560마력,77kgm,가솔린,1만km,
폭스바겐 골프 2.0 GTI 3도어,자동,5인승,4기통,200마력,28.6kgm,가솔린,29만km,
닛산 엑스트레일 2.5 4WD,자동,5인승,4기통,172마력,24.2kgm,가솔린,1만km,
벤츠 S350 블루텍,자동,5인승,6기통,258마력,63.2kgm,디젤,32만km,
벤츠 GLC 350e 4매틱 프리미엄,자동,5인승,4기통,320마력,57.1kgm,가솔린+전기,3만km,
벤틀리 벤테이가 6.0 W12,자동,,,,,가솔린,5만km,
아우디 A8 3.0 TDI 콰트로 LWB,자동,5인승,6기통,250마력,56.1kgm,디젤,25만km,
캐딜락 에스컬레이드 6.2 V8 ESV 4WD 스포츠 플래티넘,자동,,,,,가솔린,28ml,
포르쉐 마칸 2.0 95B ,자동,5인승,4기통,252마력,37.7kgm,가솔린,1만km,"1,200"
랜드로버 뉴 레인지로버 스포츠 3.0 SDV6 HSE 다이나믹,자동,5인승,6기통,306마력,71.4kgm,디젤,5만km,
포드 머스탱 GT 쿠페,자동,4인승,8기통,446마력,54.1kgm,가솔린,3천km,"5,199"
BMW 530e 럭셔리 라인,자동,5인승,4기통,252마력,42.8kgm,가솔린+전기,1만km,"5,600"
BMW 520i 럭셔리 라인,자동,5인승,4기통,184마력,29.6kgm,가솔린,2만km,"4,100"
벤츠 GLC 43 AMG 4매틱,자동,5인승,6기통,367마력,53kgm,가솔린,8만km,"5,350"
벤틀리 뉴 컨티넨탈 플라잉스퍼 6.0 W12 퍼스트 에디션,자동,5인승,,,,가솔린,57km,
렉서스 CT 200h 컴팩트 트랜디,자동,5인승,4기통,136마력,,가솔린+전기,20만km,760
벤츠 AMG GT S 에디션 1,자동,2인승,8기통,510마력,66.3kgm,가솔린,6만km,
벤틀리 컨티넨탈 플라잉스퍼 4.0,자동,4인승,8기통,507마력,67.3kgm,가솔린,4만km,
롤스로이스 팬텀 6.7 V12,자동,5인승,12기통,571마력,91.8kgm,가솔린,4천km,
롤스로이스 던 V12 6.6 블랙 배지,자동,4인승,12기통,601마력,85.7kgm,가솔린,9천km,
포르쉐 뉴 911 카레라 4S 카브리올레,자동,4인승,6기통,450마력,54.1kgm,가솔린,8천km,
람보르기니 우루스 4.0 V8,자동,5인승,8기통,650마력,86.7kgm,가솔린,6천km,
스즈키 짐니 1.3 4WD 시에라,자동,4인승,,,,가솔린,3만km,"2,900"
벤츠 CLS 3세대 CLS 400 d 4매틱 AMG 라인 ,자동,5인승,6기통,340마력,71.4kgm,디젤,2만km,"8,524"
BMW 5 7세대 530i xDrive  럭셔리 라인 플러스 ,자동,5인승,4기통,252마력,35.7kgm,가솔린,378km,0
포르쉐 911 카레라 4S,자동,4인승,6기통,420마력,51kgm,가솔린,2만km,
벤츠 마이바흐 S560 4매틱,자동,5인승,8기통,469마력,71.4kgm,가솔린,8천km,
랜드로버 뉴 레인지로버 4.4 SDV8 오토바이오그래피 LWB,자동,5인승,8기통,339마력,75.5kgm,디젤,2만km,
랜드로버 뉴 레인지로버 5.0 V8 SC 오토바이오그래피 LWB,자동,5인승,8기통,525마력,63.8kgm,가솔린,2만km,
벤틀리 컨티넨탈 GT 4.0 V8,자동,4인승,8기통,507마력,67.3kgm,가솔린,2만km,
BMW 420i 그란쿠페 럭셔리 라인,자동,5인승,4기통,184마력,27.5kgm,가솔린,1만km,"3,480"
랜드로버 뉴 레인지로버 4.4 SDV8 오토바이오그래피 LWB,자동,5인승,8기통,339마력,75.5kgm,디젤,2만km,
BMW 530i,자동,5인승,,,,가솔린,13만ml,
BMW 7 6세대 730Ld xDrive M 스포츠 ,자동,5인승,6기통,265마력,63.2kgm,디젤,1천km,0
아우디 A6 35 TDI 프리미엄,자동,5인승,4기통,190마력,40.8kgm,디젤,3만km,"3,450"
벤츠 G500 4x4²,자동,,,,,가솔린,1만km,
벤틀리 뉴 컨티넨탈 플라잉스퍼 6.0 W12 퍼스트 에디션,자동,5인승,,,,가솔린,9천km,
벤틀리 뉴 컨티넨탈 플라잉스퍼 6.0 W12 퍼스트 에디션,자동,5인승,,,,가솔린,1천km,
벤틀리 뉴 컨티넨탈 GT 6.0 W12,자동,,,,,가솔린,1만km,
벤틀리 뉴 컨티넨탈 플라잉스퍼 6.0 W12 퍼스트 에디션,자동,5인승,,,,가솔린,8천km,
벤틀리 벤테이가 6.0 W12,자동,5인승,12기통,608마력,91.8kgm,가솔린,2만km,
벤틀리 뉴 컨티넨탈 플라잉스퍼 6.0 W12 퍼스트 에디션,자동,5인승,,,,가솔린,34km,
벤틀리 뉴 컨티넨탈 GT 6.0 W12,자동,,,,,가솔린,4천km,
페라리 488 스파이더,자동,2인승,8기통,670마력,77.5kgm,가솔린,9천km,
벤틀리 뉴 컨티넨탈 플라잉스퍼 6.0 W12 퍼스트 에디션,자동,5인승,,,,가솔린,70km,
벤틀리 뉴 컨티넨탈 플라잉스퍼 6.0 W12 퍼스트 에디션,자동,5인승,,,,가솔린,2만km,
롤스로이스 고스트 시리즈2 V12 6.6 EWB,자동,5인승,12기통,571마력,79.6kgm,가솔린,4천km,
벤츠 마이바흐 S650 풀만,자동,6인승,12기통,630마력,102kgm,가솔린,100km,
벤츠 마이바흐 S650 풀만,자동,6인승,12기통,630마력,102kgm,가솔린,100km,
벤츠 마이바흐 S650 풀만,자동,6인승,12기통,630마력,102kgm,가솔린,67km,
벤츠 마이바흐 S650 풀만,자동,6인승,12기통,630마력,102kgm,가솔린,67km,
롤스로이스 고스트 시리즈2 V12 6.6,자동,5인승,12기통,571마력,79.6kgm,가솔린,1만km,
벤츠 G63 AMG,자동,5인승,8기통,585마력,86.7kgm,가솔린,1만km,
페라리 F8 트리뷰토 3.9 V8,자동,2인승,8기통,720마력,78.5kgm,가솔린,1천km,
애스턴마틴 DBS 5.2 슈퍼레제라,자동,,,,,가솔린,7천km,
BMW 750Li,자동,5인승,8기통,367마력,50kgm,가솔린,7만km,
포르쉐 파나메라 1세대 3.6 4 4WD ,자동,4인승,6기통,310마력,40.8kgm,가솔린,3만km,"6,500"
스즈키 짐니 0.7 4WD,자동,4인승,,,,가솔린,1만km,"2,690"
쉐보레 익스프레스밴 6.0 롱밴,자동,,,,,가솔린,4만km,"5,350"
벤츠 G63 AMG 에디션,자동,5인승,8기통,585마력,86.7kgm,가솔린,8천km,
BMW 6 3세대  640d xDrive 그란 쿠페 M 스포츠 F12 ,자동,,,,,디젤,15만km,"3,750"
BMW 3 4세대  320i ,자동,5인승,4기통,150마력,20.4kgm,가솔린,17만km,300
포르쉐 파나메라 3.0 디젤,자동,4인승,6기통,300마력,66.3kgm,디젤,3만km,"7,500"
링컨 MKX 3.7 AWD  ,자동,5인승,6기통,309마력,38.8kgm,가솔린,11만km,"1,080"
닷지 램 픽업 5.9L 1500,자동,,,,,가솔린/LPG겸용,7만km,"1,400"
BMW X7 M50d 퍼스트 에디션,자동,7인승,6기통,400마력,77.5kgm,디젤,2만km,계약
벤츠 와이즈오토 스프린터 319KB 캠핑카,자동,,,,,디젤,6천km,
맥라렌 675LT 스파이더,자동,2인승,,,,가솔린,7천km,계약
﻿BMW 320d M 스포츠,자동,5인승,4기통,190마력,40.8kgm,디젤,6천km,계약
BMW 540i xDrive M 스포츠 플러스,자동,5인승,6기통,340마력,45.9kgm,가솔린,1만km,"6,500"
벤츠 S580L 4매틱,자동,5인승,,,,가솔린,14km,
랜드로버 레인지로버 벨라 3.0 D300 R-다이나믹 HSE,자동,5인승,6기통,300마력,71.4kgm,디젤,4만km,
BMW 420d 그란쿠페 럭셔리 라인,자동,5인승,4기통,190마력,40.8kgm,디젤,2만km,
벤츠 S63 AMG 4매틱 쿠페,자동,4인승,8기통,585마력,91.8kgm,가솔린,5만km,
닷지 챌린저 6.4 R/T 스캣 팩,자동,,,,,가솔린,1만km,"5,500"
폭스바겐 뉴 CC 2.0 TDI 블루모션 4모션 ,자동,5인승,4기통,177마력,38.8kgm,디젤,9만km,"1,480"
BMW 530i xDrive M 스포츠 플러스,자동,5인승,4기통,252마력,35.7kgm,가솔린,11만km,
마이바흐 62s,자동,4인승,12기통,612마력,102kgm,가솔린,5만km,
벤츠 S560 e,자동,5인승,6기통,367마력,51.0kgm,가솔린+전기,26km,
벤츠 마이바흐 S650 풀만,자동,6인승,12기통,630마력,102kgm,가솔린,73km,
벤츠 AMG GT 4도어 63 S 4매틱 플러스,자동,4인승,8기통,639마력,91.8kgm,가솔린,480km,
벤츠 S500L,자동,5인승,8기통,455마력,71.4kgm,가솔린,3만km,
