business_used_car_id,created_at,deleted_at,modified_at,description,car_transmission_kind,company_service_type,color,distance,fuel,image_src,model_option,model_year,name,passengers,member_id
1,2021-06-23 15:11:14,2021-01-16 19:08:37,2021-06-01 02:59:56,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",STICK,CHANGE,Red,24,GASOLINE,http://dummyimage.com/157x310.png/dddddd/000000,volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam,1999,Mustang,4,753
2,2021-01-02 13:35:43,2021-07-19 15:06:57,2021-09-17 11:05:22,"Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.

In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.

Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.",STICK,DIRECTTRADE,Maroon,74,DIESEL,http://dummyimage.com/224x130.png/cc0000/ffffff,viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper,1977,Thunderbird,2,265
3,2021-02-20 06:01:37,2021-05-21 00:19:20,2021-01-30 10:27:38,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",STICK,CHANGE,Fuscia,22,GAS,http://dummyimage.com/145x370.png/5fa2dd/ffffff,enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus,2007,X-Type,5,593
4,2021-09-14 03:24:17,2021-09-06 07:09:54,2021-07-13 03:18:41,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.

Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.",STICK,DIRECTTRADE,Maroon,11,GASOLINE,http://dummyimage.com/235x170.png/cc0000/ffffff,neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum,1988,Tracer,3,358
5,2021-06-08 06:45:10,2021-04-10 06:28:33,2021-05-11 20:41:01,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.

Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.

Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",AUTOMATIC,DIRECTTRADE,Crimson,40,GASOLINE,http://dummyimage.com/109x290.png/cc0000/ffffff,potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla,1967,Thunderbird,3,94
6,2021-03-31 10:53:30,2021-05-12 02:40:47,2021-06-10 07:55:27,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.

Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.

Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",AUTOMATIC,CHANGE,Fuscia,61,DIESEL,http://dummyimage.com/194x271.png/ff4444/ffffff,sed justo pellentesque viverra pede ac diam cras pellentesque volutpat,1992,240SX,3,822
7,2021-06-18 08:10:17,2021-08-24 01:00:40,2021-05-28 05:57:26,"Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.

Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.

Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.",STICK,SALE,Aquamarine,20,GASOLINE,http://dummyimage.com/242x345.png/dddddd/000000,libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus,2003,CL,3,521
8,2021-07-27 06:30:58,2021-07-28 16:32:09,2021-04-23 08:30:37,Phasellus in felis. Donec semper sapien a libero. Nam dui.,STICK,SALE,Yellow,22,GASOLINE,http://dummyimage.com/150x273.png/5fa2dd/ffffff,vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec,1992,Camry,3,989
9,2021-06-10 07:44:05,2021-03-05 10:29:22,2021-07-07 09:55:34,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.

In congue. Etiam justo. Etiam pretium iaculis justo.",AUTOMATIC,CHANGE,Goldenrod,94,GASOLINE,http://dummyimage.com/101x202.png/5fa2dd/ffffff,orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus,1997,Esprit,1,872
10,2021-01-30 22:17:44,2021-06-26 10:08:16,2021-02-05 09:19:52,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,AUTOMATIC,DIRECTTRADE,Pink,43,GASOLINE,http://dummyimage.com/248x339.png/dddddd/000000,vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit,1985,Parisienne,6,281
