car_price_id,created_at,deleted_at,modified_at,car_transmission_kind,color,distance,fuel,image_src,model_option,model_year,name,passengers
1,2021-06-18 07:11:28,2021-03-23 19:06:40,2021-01-14 17:37:31,AUTOMATIC,Fuscia,15,GASOLINE,http://dummyimage.com/249x341.png/dddddd/000000,consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices,2003,Durango,4
2,2021-07-01 17:43:14,2021-07-03 20:08:09,2021-03-12 16:42:26,AUTOMATIC,Pink,35,GAS,http://dummyimage.com/234x188.png/cc0000/ffffff,faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio,2009,STS-V,8
3,2021-05-13 04:11:11,2021-09-13 10:02:37,2021-02-01 22:36:27,STICK,Maroon,23,GASOLINE,http://dummyimage.com/114x136.png/ff4444/ffffff,maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede,2012,E-Series,1
4,2021-05-04 20:15:51,2021-07-28 15:48:35,2021-09-04 20:41:38,AUTOMATIC,Turquoise,51,DIESEL,http://dummyimage.com/197x298.png/ff4444/ffffff,id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi,1989,Legacy,7
5,2021-04-13 05:18:11,2021-09-21 13:56:16,2021-04-03 04:30:06,STICK,Green,19,GASOLINE,http://dummyimage.com/156x384.png/cc0000/ffffff,cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec,2004,Ram 3500,2
6,2021-09-14 21:56:00,2021-07-11 15:24:22,2021-01-25 17:01:15,STICK,Violet,79,GASOLINE,http://dummyimage.com/120x339.png/dddddd/000000,morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus,2002,Accent,5
7,2021-07-04 12:19:53,2021-06-19 10:07:38,2021-01-15 11:01:42,STICK,Khaki,50,GASOLINE,http://dummyimage.com/193x199.png/5fa2dd/ffffff,enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis,2006,Forenza,6
8,2021-04-28 11:03:51,2021-06-30 17:16:10,2021-04-12 20:29:36,STICK,Pink,30,GAS,http://dummyimage.com/241x149.png/dddddd/000000,viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum,2011,Pathfinder,9
9,2021-06-15 00:20:05,2021-07-04 16:38:43,2021-03-17 06:35:53,AUTOMATIC,Aquamarine,44,GASOLINE,http://dummyimage.com/154x398.png/dddddd/000000,vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue,2009,C-Class,8
10,2021-04-12 11:44:39,2021-06-04 07:21:57,2021-06-16 15:35:38,STICK,Red,85,GAS,http://dummyimage.com/129x335.png/ff4444/ffffff,ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat,2003,S40,4
