company_car_id,created_at,deleted_at,modified_at,car_transmission_kind,color,distance,fuel,image_src,model_option,model_year,name,passengers,admin_id
1,2021-08-10 17:54:18,2021-09-04 02:50:29,2021-08-16 16:30:38,AUTOMATIC,Teal,21,DIESEL,http://dummyimage.com/139x231.png/cc0000/ffffff,at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a,2008,New Beetle,7,428
2,2021-06-06 11:34:31,2021-04-15 04:09:32,2021-07-15 14:28:21,AUTOMATIC,Green,34,GASOLINE,http://dummyimage.com/224x172.png/cc0000/ffffff,platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec,2006,Golf,8,690
3,2021-04-05 18:41:57,2021-01-13 17:02:12,2021-09-04 14:43:30,STICK,Pink,27,GASOLINE,http://dummyimage.com/186x110.png/dddddd/000000,semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo,2004,Vitara,5,692
4,2021-06-16 03:23:40,2021-07-06 02:35:00,2021-03-21 10:09:20,AUTOMATIC,Fuscia,46,DIESEL,http://dummyimage.com/204x221.png/5fa2dd/ffffff,ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien,2005,GTO,4,61
5,2021-04-21 08:08:42,2021-08-25 14:45:11,2021-08-14 07:35:04,AUTOMATIC,Orange,52,GAS,http://dummyimage.com/121x391.png/dddddd/000000,accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae,1984,Cougar,7,161
6,2021-04-11 06:48:55,2021-05-24 03:37:28,2021-04-17 21:28:40,AUTOMATIC,Crimson,62,GASOLINE,http://dummyimage.com/228x153.png/ff4444/ffffff,nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci,1998,Wrangler,4,808
7,2021-06-22 16:46:13,2021-08-07 10:00:17,2021-05-06 03:29:03,AUTOMATIC,Blue,18,GASOLINE,http://dummyimage.com/241x373.png/cc0000/ffffff,tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet,2012,G25,4,319
8,2021-07-30 18:14:59,2021-03-04 12:34:34,2021-04-13 19:23:44,STICK,Orange,36,GASOLINE,http://dummyimage.com/175x121.png/5fa2dd/ffffff,dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum,1988,90,3,404
9,2021-01-11 15:14:15,2021-01-22 22:28:30,2021-08-18 19:11:08,STICK,Aquamarine,26,DIESEL,http://dummyimage.com/224x131.png/5fa2dd/ffffff,potenti cras in purus eu magna vulputate luctus cum sociis natoque,1991,Festiva,4,872
10,2021-06-20 00:43:47,2021-08-04 23:08:34,2021-02-07 09:41:51,AUTOMATIC,Violet,29,GASOLINE,http://dummyimage.com/109x363.png/cc0000/ffffff,posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis,2004,Bonneville,10,272
11,2021-09-02 23:09:34,2021-02-17 23:15:16,2021-05-15 22:52:09,STICK,Orange,86,DIESEL,http://dummyimage.com/135x357.png/5fa2dd/ffffff,metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet,1987,Coupe GT,6,608
12,2021-05-02 14:25:26,2021-08-12 17:08:39,2021-02-08 00:13:07,STICK,Goldenrod,23,GASOLINE,http://dummyimage.com/236x203.png/cc0000/ffffff,potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non,2004,V70,4,775
13,2021-09-22 14:03:01,2021-02-05 14:25:44,2021-08-01 06:14:14,STICK,Violet,55,GAS,http://dummyimage.com/224x134.png/dddddd/000000,quis justo maecenas rhoncus aliquam lacus morbi quis tortor id,1999,Econoline E250,1,731
14,2021-07-02 15:01:42,2021-06-17 00:21:10,2021-09-21 17:49:17,AUTOMATIC,Red,24,DIESEL,http://dummyimage.com/163x234.png/5fa2dd/ffffff,sed accumsan felis ut at dolor quis odio consequat varius integer ac,1995,Impreza,10,626
15,2021-09-17 17:20:42,2021-04-22 11:06:10,2021-04-29 07:17:03,STICK,Teal,53,DIESEL,http://dummyimage.com/158x105.png/cc0000/ffffff,velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante,2008,Exige,7,249
16,2021-07-23 08:22:58,2021-09-10 08:53:28,2021-08-13 02:18:14,STICK,Purple,64,GAS,http://dummyimage.com/237x329.png/dddddd/000000,eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi,1999,Aurora,2,26
17,2021-05-14 20:52:55,2021-05-10 02:32:21,2021-03-24 04:16:37,STICK,Indigo,6,GASOLINE,http://dummyimage.com/250x309.png/ff4444/ffffff,at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla,2007,Aura,8,503
18,2021-06-09 12:21:52,2021-06-16 13:57:05,2021-01-28 17:41:32,AUTOMATIC,Green,22,DIESEL,http://dummyimage.com/132x335.png/5fa2dd/ffffff,ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer,2000,Dakota,2,350
19,2021-01-26 21:13:48,2021-03-27 15:35:03,2021-04-11 05:05:06,AUTOMATIC,Purple,81,DIESEL,http://dummyimage.com/178x337.png/cc0000/ffffff,sapien sapien non mi integer ac neque duis bibendum morbi non quam nec,2010,Gallardo,8,570
20,2021-08-10 10:06:46,2021-06-21 05:38:37,2021-02-10 07:37:39,AUTOMATIC,Mauv,24,GASOLINE,http://dummyimage.com/111x230.png/dddddd/000000,gravida nisi at nibh in hac habitasse platea dictumst aliquam,2010,9-3,3,764
21,2021-01-23 21:01:30,2021-04-11 10:23:35,2021-03-05 18:10:15,STICK,Teal,63,DIESEL,http://dummyimage.com/187x215.png/ff4444/ffffff,habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum,2003,Savana 3500,9,533
22,2021-02-28 23:05:03,2021-07-29 10:37:01,2021-08-28 03:41:03,AUTOMATIC,Fuscia,51,GASOLINE,http://dummyimage.com/146x244.png/cc0000/ffffff,vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel,2008,Matrix,4,515
23,2021-01-23 03:46:29,2021-04-02 09:20:33,2021-02-07 03:11:37,STICK,Maroon,22,DIESEL,http://dummyimage.com/210x209.png/5fa2dd/ffffff,ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue,1994,Coachbuilder,6,437
24,2021-02-03 04:12:23,2021-04-30 05:22:08,2021-09-19 13:42:18,AUTOMATIC,Pink,68,GAS,http://dummyimage.com/107x324.png/cc0000/ffffff,hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in,2012,Sequoia,10,233
25,2021-05-14 19:47:25,2021-05-29 19:42:53,2021-07-04 20:59:04,AUTOMATIC,Green,69,DIESEL,http://dummyimage.com/166x154.png/cc0000/ffffff,ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer,1986,Bronco II,4,185
26,2021-06-15 14:27:49,2021-05-28 23:23:19,2021-07-28 02:00:08,AUTOMATIC,Indigo,74,GAS,http://dummyimage.com/169x296.png/5fa2dd/ffffff,sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper,1966,Grand Prix,1,731
27,2021-02-04 10:15:56,2021-09-05 05:12:35,2021-07-11 06:46:16,STICK,Violet,56,GASOLINE,http://dummyimage.com/160x317.png/ff4444/ffffff,dolor vel est donec odio justo sollicitudin ut suscipit a feugiat,1985,Skylark,6,910
28,2021-03-29 05:29:01,2021-07-20 18:50:54,2021-07-31 13:30:53,AUTOMATIC,Yellow,72,GASOLINE,http://dummyimage.com/188x346.png/5fa2dd/ffffff,nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat,2010,Rogue,6,873
