dealer_company_id,created_at,deleted_at,modified_at,assignment_member,company_vehicle,description,name
1,2021-06-15 17:59:34,2021-03-02 12:54:24,2021-04-06 16:00:15,69,22,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,"Turcotte, Wilkinson and Friesen"
2,2021-04-02 02:46:08,2021-05-08 23:01:47,2021-02-05 09:53:24,56,46,Fusce consequat. Nulla nisl. Nunc nisl.,Kihn Group
3,2021-06-04 08:06:49,2021-08-11 13:47:11,2021-04-05 16:50:38,39,9,"Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.

Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",Padberg-Hane
4,2021-05-12 16:03:27,2021-02-03 08:12:25,2021-06-20 06:17:28,21,18,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",Morissette-Torphy
5,2021-02-04 07:24:24,2021-05-01 04:53:15,2021-05-10 17:25:50,26,92,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.","Pacocha, Fritsch and Murphy"
6,2021-01-12 23:35:46,2021-02-20 13:37:34,2021-08-19 23:40:20,4,72,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.

Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.","Carroll, Baumbach and Kutch"
7,2021-01-06 13:47:03,2021-03-22 21:57:25,2021-04-15 09:00:06,44,57,"Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.

Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.","Veum, Stiedemann and Kerluke"
8,2021-04-16 14:25:29,2021-07-18 17:06:43,2021-07-05 01:14:22,65,20,"Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.

In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.",Kautzer and Sons
9,2021-03-25 22:06:24,2021-01-17 14:53:44,2021-01-26 04:35:49,37,46,"Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.

Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",Marquardt and Sons
10,2021-04-04 22:25:39,2021-06-20 05:32:38,2021-09-06 06:11:27,42,36,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,MacGyver and Sons
11,2021-03-31 15:13:39,2021-09-11 08:15:41,2021-09-20 22:16:40,26,83,"Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.

Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.",Wilkinson Group
12,2021-01-17 16:31:32,2021-07-26 16:44:47,2021-05-31 15:06:11,1,37,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.

In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",Krajcik-Hyatt
13,2021-04-19 15:58:26,2021-04-10 10:16:48,2021-07-07 15:30:20,35,28,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.","Kohler, Wilderman and Hane"
